state,county,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,fips
Alabama,Autauga,18172,5936,865,17379,6363,190,6331.0,18220.0,62.0,7544.0,14315.0,2258.0,,,,9427.0,3638.0,0.0,55049.0,40690.0,75.6834819887736,18.3709059201802,2.57225381024178,24.3165180112264,1.83836218641574,51.1762248178895,40.0370578938764,13.9784555577758,53099.0,5.59165726292852,12.4170460154665,75.4072286513465,10.0021116351095,74.065601464067,42.0021623206465,2.0,01001
Alabama,Baldwin,72883,18458,3874,66016,18424,898,19145.0,74021.0,248.0,0.0,76995.0,1991.0,,,,37650.0,8416.0,0.0,199510.0,151770.0,83.1787880306752,9.22560272668037,4.36669841110721,16.8212119693248,3.26951030023558,51.1949275725528,35.4744123101599,18.7148513858954,51365.0,6.28684322938915,9.97241793263116,70.4528889714604,7.84222699350902,68.4056072751992,42.2790991139275,3.0,01003
Alabama,Barbour,5454,4871,144,5550,5912,47,4777.0,5436.0,16.0,5297.0,4286.0,463.0,,,,3111.0,3651.0,0.0,26614.0,20375.0,45.8856241076125,47.8883294506651,4.30976177951454,54.1143758923875,2.85939730968663,46.4980837153378,37.6643871646502,16.5288945667694,33956.0,12.8247382706475,26.2359275575135,87.1322129765595,19.5797516714422,81.3647458346599,67.7896347015333,6.0,01005
Alabama,Bibb,6738,1874,207,6132,2202,86,2082.0,6612.0,17.0,1971.0,6670.0,15.0,,,,3525.0,1368.0,0.0,22572.0,17590.0,74.7651958178274,21.2121212121212,2.22399432925749,25.2348041821726,1.35123161438951,46.4646464646465,37.3294346978558,14.8856990962254,39776.0,7.14682672001778,19.3015873015873,88.0,15.0204900894873,87.4717738563185,68.3526074623609,1.0,01007
Alabama,Blount,22859,2156,573,20757,2970,279,2980.0,22169.0,48.0,2390.0,22367.0,47.0,,,,12074.0,2178.0,0.0,57704.0,42430.0,87.6577013725218,1.55795092194649,8.72729793428532,12.3422986274782,4.27180091501456,50.4852349923749,37.2400526826563,17.1929155691113,46212.0,5.95383275261324,19.9685853263073,86.950243210377,16.6433683739656,86.1636099306643,89.9515020411012,1.0,01009
Alabama,Bullock,1140,3530,40,1251,4061,10,3364.0,1167.0,6.0,3517.0,889.0,80.0,,,,747.0,2440.0,0.0,10552.0,8195.0,21.683093252464,75.5022744503412,0.123199393479909,78.316906747536,1.51630022744503,45.8017437452616,37.9359363153904,15.1345716451857,29335.0,13.2585203657523,33.4378835401609,89.744988408564,11.7803837953092,79.1577825159915,51.3743815283123,6.0,01011
Alabama,Butler,4901,3726,105,5087,4374,35,3663.0,4840.0,7.0,4088.0,3918.0,321.0,,,,3148.0,2741.0,0.0,20280.0,15425.0,52.7810650887574,43.5157790927022,1.24753451676529,47.2189349112426,1.39546351084813,53.0473372781065,37.0562130177515,18.1262327416174,34315.0,9.80482734726874,18.9404258369776,83.9199942648219,14.6041798606713,80.0759974667511,71.2321573495011,6.0,01013
Alabama,Calhoun,32865,13242,1757,30278,15511,468,14152.0,32976.0,69.0,14000.0,33175.0,75.0,,,,17688.0,9082.0,0.0,115883.0,88525.0,72.9977649870991,20.3317138838311,3.43622446778216,27.0022350129009,2.393793740238,51.8980350871137,38.7830829371004,15.9307232294642,41954.0,11.6818215976554,17.6631367513762,82.3470334727502,16.3995108569918,81.6406120897643,33.6968255574672,3.0,01015
Alabama,Chambers,7843,5784,273,7626,6871,114,5845.0,7865.0,18.0,5796.0,7907.0,16.0,,,,3635.0,4587.0,0.0,34018.0,26480.0,56.7434887412546,40.4785701687342,0.435063789758363,43.2565112587454,0.990652007760597,52.0871303427597,35.8721853136575,18.387324357693,36027.0,7.489945275928,19.7367317850256,87.515720633856,15.2953512757777,83.8587906326459,49.1480344877978,6.0,01017
Alabama,Cherokee,8953,1547,233,7506,2132,141,1915.0,8636.0,7.0,1702.0,8707.0,12.0,,,,5007.0,1868.0,0.0,25897.0,20505.0,91.8716453643279,4.60671120206974,1.56388770900104,8.12835463567208,0.725952813067151,50.2529250492335,32.7103525504885,20.3228173147469,38925.0,5.85573104276346,18.7172354766235,86.0383010591634,19.2564073095047,85.7832433053672,85.7362730385933,6.0,01019
