year,state,state_po,county_name,fips,candidate,party,totalvotes,candidatevotes
2000,ALABAMA,AL,AUTAUGA,01001,AL GORE,DEMOCRAT,17208,4942
2000,ALABAMA,AL,AUTAUGA,01001,GEORGE W. BUSH,REPUBLICAN,17208,11993
2000,ALABAMA,AL,AUTAUGA,01001,OTHER,OTHER,17208,113
2000,ALABAMA,AL,AUTAUGA,01001,RALPH NADER,GREEN,17208,160
2000,ALABAMA,AL,BALDWIN,01003,AL GORE,DEMOCRAT,56480,13997
2000,ALABAMA,AL,BALDWIN,01003,GEORGE W. BUSH,REPUBLICAN,56480,40872
2000,ALABAMA,AL,BALDWIN,01003,OTHER,OTHER,56480,578
2000,ALABAMA,AL,BALDWIN,01003,RALPH NADER,GREEN,56480,1033
2000,ALABAMA,AL,BARBOUR,01005,AL GORE,DEMOCRAT,10395,5188
2000,ALABAMA,AL,BARBOUR,01005,GEORGE W. BUSH,REPUBLICAN,10395,5096
2000,ALABAMA,AL,BARBOUR,01005,OTHER,OTHER,10395,65
2000,ALABAMA,AL,BARBOUR,01005,RALPH NADER,GREEN,10395,46
2000,ALABAMA,AL,BIBB,01007,AL GORE,DEMOCRAT,7101,2710
2000,ALABAMA,AL,BIBB,01007,GEORGE W. BUSH,REPUBLICAN,7101,4273
2000,ALABAMA,AL,BIBB,01007,OTHER,OTHER,7101,66
2000,ALABAMA,AL,BIBB,01007,RALPH NADER,GREEN,7101,52
2000,ALABAMA,AL,BLOUNT,01009,AL GORE,DEMOCRAT,17973,4977
2000,ALABAMA,AL,BLOUNT,01009,GEORGE W. BUSH,REPUBLICAN,17973,12667
2000,ALABAMA,AL,BLOUNT,01009,OTHER,OTHER,17973,175
2000,ALABAMA,AL,BLOUNT,01009,RALPH NADER,GREEN,17973,154
2000,ALABAMA,AL,BULLOCK,01011,AL GORE,DEMOCRAT,4904,3395
2000,ALABAMA,AL,BULLOCK,01011,GEORGE W. BUSH,REPUBLICAN,4904,1433
2000,ALABAMA,AL,BULLOCK,01011,OTHER,OTHER,4904,52
2000,ALABAMA,AL,BULLOCK,01011,RALPH NADER,GREEN,4904,24
2000,ALABAMA,AL,BUTLER,01013,AL GORE,DEMOCRAT,7803,3606
2000,ALABAMA,AL,BUTLER,01013,GEORGE W. BUSH,REPUBLICAN,7803,4127
2000,ALABAMA,AL,BUTLER,01013,OTHER,OTHER,7803,34
2000,ALABAMA,AL,BUTLER,01013,RALPH NADER,GREEN,7803,36
2000,ALABAMA,AL,CALHOUN,01015,AL GORE,DEMOCRAT,38909,15781
2000,ALABAMA,AL,CALHOUN,01015,GEORGE W. BUSH,REPUBLICAN,38909,22306
2000,ALABAMA,AL,CALHOUN,01015,OTHER,OTHER,38909,341
2000,ALABAMA,AL,CALHOUN,01015,RALPH NADER,GREEN,38909,481
2000,ALABAMA,AL,CHAMBERS,01017,AL GORE,DEMOCRAT,11834,5616
2000,ALABAMA,AL,CHAMBERS,01017,GEORGE W. BUSH,REPUBLICAN,11834,6037
2000,ALABAMA,AL,CHAMBERS,01017,OTHER,OTHER,11834,86
2000,ALABAMA,AL,CHAMBERS,01017,RALPH NADER,GREEN,11834,95
2000,ALABAMA,AL,CHEROKEE,01019,AL GORE,DEMOCRAT,7823,3497
2000,ALABAMA,AL,CHEROKEE,01019,GEORGE W. BUSH,REPUBLICAN,7823,4154
2000,ALABAMA,AL,CHEROKEE,01019,OTHER,OTHER,7823,95
2000,ALABAMA,AL,CHEROKEE,01019,RALPH NADER,GREEN,7823,77
2000,ALABAMA,AL,CHILTON,01021,AL GORE,DEMOCRAT,15092,4806
2000,ALABAMA,AL,CHILTON,01021,GEORGE W. BUSH,REPUBLICAN,15092,10066
2000,ALABAMA,AL,CHILTON,01021,OTHER,OTHER,15092,128
2000,ALABAMA,AL,CHILTON,01021,RALPH NADER,GREEN,15092,92
2000,ALABAMA,AL,CHOCTAW,01023,AL GORE,DEMOCRAT,7374,3707
2000,ALABAMA,AL,CHOCTAW,01023,GEORGE W. BUSH,REPUBLICAN,7374,3600
2000,ALABAMA,AL,CHOCTAW,01023,OTHER,OTHER,7374,34
2000,ALABAMA,AL,CHOCTAW,01023,RALPH NADER,GREEN,7374,33
2000,ALABAMA,AL,CLARKE,01025,AL GORE,DEMOCRAT,10752,4679
2000,ALABAMA,AL,CLARKE,01025,GEORGE W. BUSH,REPUBLICAN,10752,5988
2000,ALABAMA,AL,CLARKE,01025,OTHER,OTHER,10752,52
2000,ALABAMA,AL,CLARKE,01025,RALPH NADER,GREEN,10752,33
2000,ALABAMA,AL,CLAY,01027,AL GORE,DEMOCRAT,5883,2045
2000,ALABAMA,AL,CLAY,01027,GEORGE W. BUSH,REPUBLICAN,5883,3719
2000,ALABAMA,AL,CLAY,01027,OTHER,OTHER,5883,67
2000,ALABAMA,AL,CLAY,01027,RALPH NADER,GREEN,5883,52
2000,ALABAMA,AL,CLEBURNE,01029,AL GORE,DEMOCRAT,5092,1664
2000,ALABAMA,AL,CLEBURNE,01029,GEORGE W. BUSH,REPUBLICAN,5092,3333
2000,ALABAMA,AL,CLEBURNE,01029,OTHER,OTHER,5092,56
2000,ALABAMA,AL,CLEBURNE,01029,RALPH NADER,GREEN,5092,39
2000,ALABAMA,AL,COFFEE,01031,AL GORE,DEMOCRAT,15434,5220
2000,ALABAMA,AL,COFFEE,01031,GEORGE W. BUSH,REPUBLICAN,15434,9938
2000,ALABAMA,AL,COFFEE,01031,OTHER,OTHER,15434,121
2000,ALABAMA,AL,COFFEE,01031,RALPH NADER,GREEN,15434,155
2000,ALABAMA,AL,COLBERT,01033,AL GORE,DEMOCRAT,21532,10543
2000,ALABAMA,AL,COLBERT,01033,GEORGE W. BUSH,REPUBLICAN,21532,10518
2000,ALABAMA,AL,COLBERT,01033,OTHER,OTHER,21532,263
2000,ALABAMA,AL,COLBERT,01033,RALPH NADER,GREEN,21532,208
2000,ALABAMA,AL,CONECUH,01035,AL GORE,DEMOCRAT,5551,2783
2000,ALABAMA,AL,CONECUH,01035,GEORGE W. BUSH,REPUBLICAN,5551,2699
2000,ALABAMA,AL,CONECUH,01035,OTHER,OTHER,5551,34
2000,ALABAMA,AL,CONECUH,01035,RALPH NADER,GREEN,5551,35
2000,ALABAMA,AL,COOSA,01037,AL GORE,DEMOCRAT,4567,2104
2000,ALABAMA,AL,COOSA,01037,GEORGE W. BUSH,REPUBLICAN,4567,2382
2000,ALABAMA,AL,COOSA,01037,OTHER,OTHER,4567,47
2000,ALABAMA,AL,COOSA,01037,RALPH NADER,GREEN,4567,34
2000,ALABAMA,AL,COVINGTON,01039,AL GORE,DEMOCRAT,13613,4440
2000,ALABAMA,AL,COVINGTON,01039,GEORGE W. BUSH,REPUBLICAN,13613,8961
2000,ALABAMA,AL,COVINGTON,01039,OTHER,OTHER,13613,89
2000,ALABAMA,AL,COVINGTON,01039,RALPH NADER,GREEN,13613,123
2000,ALABAMA,AL,CRENSHAW,01041,AL GORE,DEMOCRAT,4795,1934
2000,ALABAMA,AL,CRENSHAW,01041,GEORGE W. BUSH,REPUBLICAN,4795,2793
2000,ALABAMA,AL,CRENSHAW,01041,OTHER,OTHER,4795,28
2000,ALABAMA,AL,CRENSHAW,01041,RALPH NADER,GREEN,4795,40
2000,ALABAMA,AL,CULLMAN,01043,AL GORE,DEMOCRAT,29525,9758
2000,ALABAMA,AL,CULLMAN,01043,GEORGE W. BUSH,REPUBLICAN,29525,19157
2000,ALABAMA,AL,CULLMAN,01043,OTHER,OTHER,29525,328
2000,ALABAMA,AL,CULLMAN,01043,RALPH NADER,GREEN,29525,282
2000,ALABAMA,AL,DALE,01045,AL GORE,DEMOCRAT,15806,4906
2000,ALABAMA,AL,DALE,01045,GEORGE W. BUSH,REPUBLICAN,15806,10593
2000,ALABAMA,AL,DALE,01045,OTHER,OTHER,15806,119
2000,ALABAMA,AL,DALE,01045,RALPH NADER,GREEN,15806,188
2000,ALABAMA,AL,DALLAS,01047,AL GORE,DEMOCRAT,18464,10967
2000,ALABAMA,AL,DALLAS,01047,GEORGE W. BUSH,REPUBLICAN,18464,7360
2000,ALABAMA,AL,DALLAS,01047,OTHER,OTHER,18464,74
2000,ALABAMA,AL,DALLAS,01047,RALPH NADER,GREEN,18464,63
2000,ALABAMA,AL,DEKALB,01049,AL GORE,DEMOCRAT,20285,7056
2000,ALABAMA,AL,DEKALB,01049,GEORGE W. BUSH,REPUBLICAN,20285,12827
2000,ALABAMA,AL,DEKALB,01049,OTHER,OTHER,20285,227
2000,ALABAMA,AL,DEKALB,01049,RALPH NADER,GREEN,20285,175
2000,ALABAMA,AL,ELMORE,01051,AL GORE,DEMOCRAT,23804,6652
2000,ALABAMA,AL,ELMORE,01051,GEORGE W. BUSH,REPUBLICAN,23804,16777
2000,ALABAMA,AL,ELMORE,01051,OTHER,OTHER,23804,163
2000,ALABAMA,AL,ELMORE,01051,RALPH NADER,GREEN,23804,212
2000,ALABAMA,AL,ESCAMBIA,01053,AL GORE,DEMOCRAT,11660,4523
2000,ALABAMA,AL,ESCAMBIA,01053,GEORGE W. BUSH,REPUBLICAN,11660,6975
2000,ALABAMA,AL,ESCAMBIA,01053,OTHER,OTHER,11660,84
2000,ALABAMA,AL,ESCAMBIA,01053,RALPH NADER,GREEN,11660,78
2000,ALABAMA,AL,ETOWAH,01055,AL GORE,DEMOCRAT,39348,17433
2000,ALABAMA,AL,ETOWAH,01055,GEORGE W. BUSH,REPUBLICAN,39348,21087
2000,ALABAMA,AL,ETOWAH,01055,OTHER,OTHER,39348,393
2000,ALABAMA,AL,ETOWAH,01055,RALPH NADER,GREEN,39348,435
2000,ALABAMA,AL,FAYETTE,01057,AL GORE,DEMOCRAT,7808,3064
2000,ALABAMA,AL,FAYETTE,01057,GEORGE W. BUSH,REPUBLICAN,7808,4582
2000,ALABAMA,AL,FAYETTE,01057,OTHER,OTHER,7808,102
2000,ALABAMA,AL,FAYETTE,01057,RALPH NADER,GREEN,7808,60
2000,ALABAMA,AL,FRANKLIN,01059,AL GORE,DEMOCRAT,11103,4793
2000,ALABAMA,AL,FRANKLIN,01059,GEORGE W. BUSH,REPUBLICAN,11103,6119
2000,ALABAMA,AL,FRANKLIN,01059,OTHER,OTHER,11103,119
2000,ALABAMA,AL,FRANKLIN,01059,RALPH NADER,GREEN,11103,72
2000,ALABAMA,AL,GENEVA,01061,AL GORE,DEMOCRAT,9559,2769
2000,ALABAMA,AL,GENEVA,01061,GEORGE W. BUSH,REPUBLICAN,9559,6588
2000,ALABAMA,AL,GENEVA,01061,OTHER,OTHER,9559,105
2000,ALABAMA,AL,GENEVA,01061,RALPH NADER,GREEN,9559,97
2000,ALABAMA,AL,GREENE,01063,AL GORE,DEMOCRAT,4396,3504
2000,ALABAMA,AL,GREENE,01063,GEORGE W. BUSH,REPUBLICAN,4396,850
2000,ALABAMA,AL,GREENE,01063,OTHER,OTHER,4396,18
2000,ALABAMA,AL,GREENE,01063,RALPH NADER,GREEN,4396,24
2000,ALABAMA,AL,HALE,01065,AL GORE,DEMOCRAT,7731,4652
2000,ALABAMA,AL,HALE,01065,GEORGE W. BUSH,REPUBLICAN,7731,2984
2000,ALABAMA,AL,HALE,01065,OTHER,OTHER,7731,52
2000,ALABAMA,AL,HALE,01065,RALPH NADER,GREEN,7731,43
2000,ALABAMA,AL,HENRY,01067,AL GORE,DEMOCRAT,6932,2782
2000,ALABAMA,AL,HENRY,01067,GEORGE W. BUSH,REPUBLICAN,6932,4054
2000,ALABAMA,AL,HENRY,01067,OTHER,OTHER,6932,48
2000,ALABAMA,AL,HENRY,01067,RALPH NADER,GREEN,6932,48
2000,ALABAMA,AL,HOUSTON,01069,AL GORE,DEMOCRAT,32057,9412
2000,ALABAMA,AL,HOUSTON,01069,GEORGE W. BUSH,REPUBLICAN,32057,22150
2000,ALABAMA,AL,HOUSTON,01069,OTHER,OTHER,32057,238
2000,ALABAMA,AL,HOUSTON,01069,RALPH NADER,GREEN,32057,257
2000,ALABAMA,AL,JACKSON,01071,AL GORE,DEMOCRAT,17906,9066
2000,ALABAMA,AL,JACKSON,01071,GEORGE W. BUSH,REPUBLICAN,17906,8475
2000,ALABAMA,AL,JACKSON,01071,OTHER,OTHER,17906,181
2000,ALABAMA,AL,JACKSON,01071,RALPH NADER,GREEN,17906,184
2000,ALABAMA,AL,JEFFERSON,01073,AL GORE,DEMOCRAT,273763,129889
2000,ALABAMA,AL,JEFFERSON,01073,GEORGE W. BUSH,REPUBLICAN,273763,138491
2000,ALABAMA,AL,JEFFERSON,01073,OTHER,OTHER,273763,1990
2000,ALABAMA,AL,JEFFERSON,01073,RALPH NADER,GREEN,273763,3393
2000,ALABAMA,AL,LAMAR,01075,AL GORE,DEMOCRAT,7249,2653
2000,ALABAMA,AL,LAMAR,01075,GEORGE W. BUSH,REPUBLICAN,7249,4470
2000,ALABAMA,AL,LAMAR,01075,OTHER,OTHER,7249,69
2000,ALABAMA,AL,LAMAR,01075,RALPH NADER,GREEN,7249,57
2000,ALABAMA,AL,LAUDERDALE,01077,AL GORE,DEMOCRAT,32137,13875
2000,ALABAMA,AL,LAUDERDALE,01077,GEORGE W. BUSH,REPUBLICAN,32137,17478
2000,ALABAMA,AL,LAUDERDALE,01077,OTHER,OTHER,32137,430
2000,ALABAMA,AL,LAUDERDALE,01077,RALPH NADER,GREEN,32137,354
2000,ALABAMA,AL,LAWRENCE,01079,AL GORE,DEMOCRAT,12185,6296
2000,ALABAMA,AL,LAWRENCE,01079,GEORGE W. BUSH,REPUBLICAN,12185,5671
2000,ALABAMA,AL,LAWRENCE,01079,OTHER,OTHER,12185,155
2000,ALABAMA,AL,LAWRENCE,01079,RALPH NADER,GREEN,12185,63
2000,ALABAMA,AL,LEE,01081,AL GORE,DEMOCRAT,38264,14574
2000,ALABAMA,AL,LEE,01081,GEORGE W. BUSH,REPUBLICAN,38264,22433
2000,ALABAMA,AL,LEE,01081,OTHER,OTHER,38264,362
2000,ALABAMA,AL,LEE,01081,RALPH NADER,GREEN,38264,895
2000,ALABAMA,AL,LIMESTONE,01083,AL GORE,DEMOCRAT,23634,8992
2000,ALABAMA,AL,LIMESTONE,01083,GEORGE W. BUSH,REPUBLICAN,23634,14204
2000,ALABAMA,AL,LIMESTONE,01083,OTHER,OTHER,23634,245
2000,ALABAMA,AL,LIMESTONE,01083,RALPH NADER,GREEN,23634,193
2000,ALABAMA,AL,LOWNDES,01085,AL GORE,DEMOCRAT,6243,4557
2000,ALABAMA,AL,LOWNDES,01085,GEORGE W. BUSH,REPUBLICAN,6243,1638
2000,ALABAMA,AL,LOWNDES,01085,OTHER,OTHER,6243,30
2000,ALABAMA,AL,LOWNDES,01085,RALPH NADER,GREEN,6243,18
2000,ALABAMA,AL,MACON,01087,AL GORE,DEMOCRAT,8831,7665
2000,ALABAMA,AL,MACON,01087,GEORGE W. BUSH,REPUBLICAN,8831,1091
2000,ALABAMA,AL,MACON,01087,OTHER,OTHER,8831,44
2000,ALABAMA,AL,MACON,01087,RALPH NADER,GREEN,8831,31
2000,ALABAMA,AL,MADISON,01089,AL GORE,DEMOCRAT,113318,48199
2000,ALABAMA,AL,MADISON,01089,GEORGE W. BUSH,REPUBLICAN,113318,62151
2000,ALABAMA,AL,MADISON,01089,OTHER,OTHER,113318,1083
2000,ALABAMA,AL,MADISON,01089,RALPH NADER,GREEN,113318,1885
