"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Michigan","Big Ten","Alabama","SEC","401551786","4015517861","1","false","1","25","75","15","0","1","27","73","13","56","1","4","3","2","PUNT","true","0","0","0","0"
"Alabama","SEC","Michigan","Big Ten","401551786","4015517862","2","false","1","63","63","13","56","1","76","76","11","52","2","4","3","-13","PUNT","false","0","0","0","0"
"Alabama","SEC","Michigan","Big Ten","401551786","4015517863","3","true","1","44","44","11","52","1","0","0","9","41","2","11","4","44","TD","false","0","0","7","0"
"Michigan","Big Ten","Alabama","SEC","401551786","4015517864","4","true","1","25","75","9","41","1","100","0","4","23","5","18","10","75","TD","true","0","7","7","7"
"Alabama","SEC","Michigan","Big Ten","401551786","4015517865","5","false","1","75","75","4","23","1","68","68","2","49","1","34","3","7","PUNT","false","7","7","7","7"
"Michigan","Big Ten","Alabama","SEC","401551786","4015517866","6","false","1","19","81","2","49","2","39","61","14","13","3","36","6","20","PUNT","true","7","7","7","7"
"Alabama","SEC","Michigan","Big Ten","401551786","4015517867","7","false","2","76","76","14","13","2","77","77","11","55","2","18","3","-1","PUNT","false","7","7","7","7"
"Michigan","Big Ten","Alabama","SEC","401551786","4015517868","8","false","2","30","70","11","55","2","34","66","10","50","1","5","3","4","PUNT","true","7","7","7","7"
"Alabama","SEC","Michigan","Big Ten","401551786","4015517869","9","false","2","70","70","10","50","2","68","68","8","26","2","24","3","2","PUNT","false","7","7","7","7"
"Michigan","Big Ten","Alabama","SEC","401551786","40155178610","10","true","2","17","83","8","26","2","100","0","3","49","4","37","8","83","TD","true","7","7","13","7"
"Alabama","SEC","Michigan","Big Ten","401551786","40155178611","11","true","2","84","84","3","49","2","32","32","0","7","3","42","10","52","FG","false","7","13","10","13"
"Michigan","Big Ten","Alabama","SEC","401551786","40155178612","12","false","2","25","75","0","7","2","23","77","0","0","0","7","1","-2","END OF HALF","true","13","10","13","10"
"Alabama","SEC","Michigan","Big Ten","401551786","40155178613","13","false","3","86","86","15","0","3","59","59","9","49","5","11","9","27","PUNT","false","10","13","10","13"
"Michigan","Big Ten","Alabama","SEC","401551786","40155178614","14","false","3","13","87","9","49","3","34","66","5","58","3","51","6","21","PUNT","true","13","10","13","10"
"Alabama","SEC","Michigan","Big Ten","401551786","40155178615","15","false","3","79","79","5","58","3","73","73","4","41","1","17","3","6","PUNT","false","10","13","10","13"
"Michigan","Big Ten","Alabama","SEC","401551786","40155178616","16","false","3","11","89","4","41","3","13","87","3","44","0","57","3","2","PUNT","true","13","10","13","10"
"Alabama","SEC","Michigan","Big Ten","401551786","40155178617","17","true","3","55","55","3","44","4","0","0","14","30","4","14","8","55","TD","false","10","13","17","13"
"Michigan","Big Ten","Alabama","SEC","401551786","40155178618","18","false","4","25","75","14","30","4","26","74","13","32","0","58","3","1","PUNT","true","13","17","13","17"
"Alabama","SEC","Michigan","Big Ten","401551786","40155178619","19","false","4","67","67","13","32","4","54","54","12","47","0","45","2","13","FUMBLE","false","17","13","17","13"
"Michigan","Big Ten","Alabama","SEC","401551786","40155178620","20","false","4","49","51","12","47","4","69","31","10","30","2","17","5","20","MISSED FG","true","13","17","13","17"
"Alabama","SEC","Michigan","Big Ten","401551786","40155178621","21","true","4","69","69","10","30","4","34","34","4","41","5","49","9","35","FG","false","17","13","20","13"
"Michigan","Big Ten","Alabama","SEC","401551786","40155178622","22","true","4","25","75","4","41","4","100","0","1","34","3","7","8","75","TD","true","13","20","20","20"
