"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","4015201621","1","false","1","75","75","15","0","1","69","69","13","19","1","41","3","6","PUNT","false","0","0","0","0"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","4015201622","2","false","1","2","98","13","19","1","2","98","11","14","2","5","3","0","PUNT","true","0","0","0","0"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","4015201623","3","false","1","47","47","11","14","1","46","46","10","13","1","1","3","1","INT","false","0","0","0","0"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","4015201624","4","true","1","43","57","10","13","1","100","0","5","43","4","30","8","57","TD","true","0","0","7","0"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","4015201625","5","false","1","75","75","5","43","1","59","59","2","56","2","47","6","16","PUNT","false","0","7","0","7"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","4015201626","6","true","1","10","90","2","56","2","100","0","14","13","3","43","7","90","TD","true","7","0","14","0"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","4015201627","7","false","2","91","91","14","7","2","59","59","9","48","4","19","8","32","PUNT","false","0","14","0","14"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","4015201628","8","true","2","24","76","9","48","2","100","0","5","32","4","16","7","76","TD","true","14","0","20","0"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","4015201629","9","false","2","75","75","5","32","2","33","33","0","48","4","44","10","42","MISSED FG","false","0","20","0","20"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","40152016210","10","true","2","33","67","0","48","2","68","32","0","0","0","48","6","34","FG","true","20","0","23","0"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","40152016211","11","true","3","25","75","15","0","3","100","0","9","13","5","47","12","75","TD","true","23","0","30","0"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","40152016212","12","false","3","75","75","9","13","3","73","73","7","31","1","42","3","2","PUNT","false","0","30","0","30"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","40152016213","13","false","3","18","82","7","31","3","97","3","0","19","7","12","12","79","DOWNS","true","30","0","30","0"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","40152016214","14","false","3","97","97","0","19","4","97","97","14","34","0","45","3","0","PUNT","false","0","30","0","30"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","40152016215","15","false","4","62","38","14","34","4","66","34","12","41","1","53","4","4","MISSED FG","true","30","0","30","0"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","40152016216","16","false","4","66","66","12","41","4","13","13","6","16","6","25","11","53","DOWNS","false","0","30","0","30"
"Michigan","Big Ten","East Carolina","American Athletic","401520162","40152016217","17","false","4","13","87","6","16","4","28","72","3","4","3","12","5","15","PUNT","true","30","0","30","0"
"East Carolina","American Athletic","Michigan","Big Ten","401520162","40152016218","18","true","4","72","72","3","4","4","16","16","0","0","3","4","10","56","FG","false","0","30","3","30"
"UNLV","Mountain West","Michigan","Big Ten","401520202","4015202021","1","false","1","75","75","15","0","1","56","56","11","43","3","17","7","19","PUNT","false","0","0","0","0"
"Michigan","Big Ten","UNLV","Mountain West","401520202","4015202022","2","true","1","20","80","11","43","1","100","0","7","6","4","37","9","80","TD","true","0","0","7","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","4015202023","3","false","1","65","65","7","6","1","74","74","5","44","1","22","3","-9","PUNT","false","0","7","0","7"
"Michigan","Big Ten","UNLV","Mountain West","401520202","4015202024","4","true","1","25","75","5","42","2","100","0","14","56","5","46","11","75","TD","true","7","0","14","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","4015202025","5","false","2","75","75","14","56","2","70","70","12","28","2","28","4","5","PUNT","false","0","14","0","14"
"Michigan","Big Ten","UNLV","Mountain West","401520202","4015202026","6","false","2","41","59","12","28","2","83","17","8","33","3","55","7","42","DOWNS","true","14","0","14","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","4015202027","7","false","2","83","83","8","30","2","58","58","4","30","4","0","7","25","PUNT","false","0","14","0","14"
"Michigan","Big Ten","UNLV","Mountain West","401520202","4015202028","8","true","2","17","83","4","30","2","100","0","0","24","4","6","10","83","TD","true","14","0","21","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","4015202029","9","false","2","75","75","0","24","2","73","73","0","0","0","24","1","2","END OF HALF","false","0","21","0","21"
"Michigan","Big Ten","UNLV","Mountain West","401520202","40152020210","10","false","3","31","69","14","52","3","38","62","13","41","1","11","3","7","PUNT","true","21","0","21","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","40152020211","11","false","3","85","85","13","41","3","77","77","11","54","1","47","3","8","PUNT","false","0","21","0","21"
"Michigan","Big Ten","UNLV","Mountain West","401520202","40152020212","12","true","3","36","64","11","54","3","100","0","10","31","1","23","3","64","TD","true","21","0","28","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","40152020213","13","false","3","75","75","10","31","3","33","33","8","8","2","23","7","42","DOWNS","false","0","28","0","28"
"Michigan","Big Ten","UNLV","Mountain West","401520202","40152020214","14","false","3","33","67","8","8","3","37","63","6","30","1","38","3","4","PUNT","true","28","0","28","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","40152020215","15","false","3","61","61","6","30","3","71","71","5","28","1","2","3","-10","PUNT","false","0","28","0","28"
"Michigan","Big Ten","UNLV","Mountain West","401520202","40152020216","16","true","3","24","76","5","28","3","100","0","3","16","2","12","4","76","TD","true","28","0","35","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","40152020217","17","false","3","75","75","3","16","3","46","46","0","56","2","20","5","29","DOWNS","false","0","35","0","35"
"Michigan","Big Ten","UNLV","Mountain West","401520202","40152020218","18","false","3","46","54","0","56","4","78","22","14","45","1","11","4","32","INT","true","35","0","35","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","40152020219","19","false","4","77","77","14","45","4","40","40","10","31","4","14","8","37","DOWNS","false","0","35","0","35"
"Michigan","Big Ten","UNLV","Mountain West","401520202","40152020220","20","false","4","41","59","10","31","4","38","62","8","17","2","14","3","-3","PUNT","true","35","0","35","0"
"UNLV","Mountain West","Michigan","Big Ten","401520202","40152020221","21","true","4","81","81","8","17","4","0","0","2","43","5","34","9","81","TD","false","0","35","7","35"
"Michigan","Big Ten","UNLV","Mountain West","401520202","40152020222","22","false","4","31","69","2","36","4","68","32","0","0","2","36","4","37","END OF GAME","true","35","7","35","7"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","4015202321","1","false","1","75","75","15","0","1","51","51","12","36","2","24","4","24","PUNT","false","0","0","0","0"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","4015202322","2","true","1","23","77","12","36","1","100","0","10","44","1","52","4","77","TD","true","0","0","7","0"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","4015202323","3","false","1","75","75","10","44","1","79","79","8","36","2","8","3","-4","PUNT","false","0","7","0","7"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","4015202324","4","false","1","57","43","8","36","1","95","5","4","48","3","48","7","38","INT","true","7","0","7","0"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","4015202325","5","true","1","80","80","4","48","2","18","18","14","13","5","35","12","62","FG","false","0","7","3","7"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","4015202326","6","true","2","33","33","14","2","2","24","24","11","39","2","23","4","9","FG","false","3","7","6","7"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","4015202327","7","false","2","37","63","11","31","2","62","38","8","50","2","41","5","25","INT","true","7","6","7","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","4015202328","8","false","2","66","66","8","50","2","67","67","6","57","1","53","3","-1","PUNT","false","6","7","6","7"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","4015202329","9","true","2","33","67","6","57","2","100","0","4","15","2","42","5","67","TD","true","7","6","14","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","40152023210","10","false","2","75","75","4","15","2","59","59","1","51","2","24","5","16","INT","false","6","14","6","14"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","40152023211","11","false","2","45","55","1","51","2","35","65","0","29","1","22","3","-10","PUNT","true","14","6","14","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","40152023212","12","false","2","82","82","0","29","2","83","83","0","0","0","29","1","-1","END OF HALF","false","6","14","6","14"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","40152023213","13","false","3","24","76","14","52","3","32","68","12","55","1","57","3","8","PUNT","true","14","6","14","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","40152023214","14","false","3","85","85","12","55","3","85","85","12","48","0","7","1","0","INT","false","6","14","6","14"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","40152023215","15","true","3","98","2","12","48","3","100","0","12","44","0","4","1","2","TD","true","21","6","21","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","40152023216","16","false","3","75","75","12","44","3","74","74","11","53","0","51","2","1","FUMBLE","false","6","21","6","21"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","40152023217","17","true","3","74","26","11","53","3","76","24","10","12","1","41","4","2","FG","true","21","6","24","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","40152023218","18","false","3","75","75","10","12","3","71","71","7","58","2","14","3","4","PUNT","false","6","24","6","24"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","40152023219","19","true","3","39","61","7","57","3","100","0","6","28","1","29","3","61","TD","true","24","6","31","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","40152023220","20","false","3","75","75","6","28","3","74","74","4","4","2","24","3","1","PUNT","false","6","31","6","31"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","40152023221","21","false","3","37","63","4","4","3","65","35","0","49","3","15","6","28","INT","true","31","6","31","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","40152023222","22","false","3","80","80","0","49","4","48","48","9","10","6","39","9","32","PUNT","false","6","31","6","31"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","40152023223","23","false","4","20","80","9","10","4","26","74","6","53","2","17","3","6","PUNT","true","31","6","31","6"
"Bowling Green","Mid-American","Michigan","Big Ten","401520232","40152023224","24","false","4","65","65","6","53","4","18","18","0","11","6","42","10","47","MISSED FG","false","6","31","6","31"
"Michigan","Big Ten","Bowling Green","Mid-American","401520232","40152023225","25","false","4","20","80","0","11","4","18","82","0","0","0","11","1","-2","END OF GAME","true","31","6","31","6"
"Rutgers","Big Ten","Michigan","Big Ten","401520260","4015202601","1","true","1","75","75","15","0","1","0","0","14","0","1","0","3","75","TD","false","0","0","7","0"
"Michigan","Big Ten","Rutgers","Big Ten","401520260","4015202602","2","false","1","37","63","13","54","1","40","60","12","27","1","27","3","3","PUNT","true","0","7","0","7"
"Rutgers","Big Ten","Michigan","Big Ten","401520260","4015202603","3","false","1","79","79","12","27","1","81","81","9","27","3","0","3","-2","PUNT","false","7","0","7","0"
"Michigan","Big Ten","Rutgers","Big Ten","401520260","4015202604","4","true","1","6","94","9","27","1","100","0","5","56","3","31","7","94","TD","true","0","7","7","7"
"Rutgers","Big Ten","Michigan","Big Ten","401520260","4015202605","5","false","1","75","75","5","56","2","33","33","14","55","6","1","10","42","MISSED FG","false","7","7","7","7"
"Michigan","Big Ten","Rutgers","Big Ten","401520260","4015202606","6","false","2","34","66","14","55","2","76","24","9","35","5","20","9","42","MISSED FG","true","7","7","7","7"
"Rutgers","Big Ten","Michigan","Big Ten","401520260","4015202607","7","false","2","76","76","9","35","2","68","68","7","25","2","10","3","8","PUNT","false","7","7","7","7"
"Michigan","Big Ten","Rutgers","Big Ten","401520260","4015202608","8","true","2","21","79","7","25","2","100","0","1","41","5","44","11","79","TD","true","7","7","14","7"
"Rutgers","Big Ten","Michigan","Big Ten","401520260","4015202609","9","false","2","94","94","1","41","2","93","93","0","0","1","41","4","1","DOWNS","false","7","14","7","14"
"Michigan","Big Ten","Rutgers","Big Ten","401520260","40152026010","10","true","3","10","90","14","53","3","72","28","7","0","7","53","14","62","FG","true","14","7","17","7"
"Rutgers","Big Ten","Michigan","Big Ten","401520260","40152026011","11","true","3","75","75","7","0","3","27","27","4","31","2","29","9","48","INT TD","false","7","17","7","24"
"Rutgers","Big Ten","Michigan","Big Ten","401520260","40152026012","12","false","3","75","75","4","31","3","68","68","2","41","1","50","3","7","PUNT","false","7","24","7","24"
"Michigan","Big Ten","Rutgers","Big Ten","401520260","40152026013","13","true","3","34","66","2","41","4","100","0","12","38","5","3","9","66","TD","true","24","7","31","7"
"Rutgers","Big Ten","Michigan","Big Ten","401520260","40152026014","14","false","4","75","75","12","38","4","19","19","6","57","5","41","10","56","DOWNS","false","7","31","7","31"
"Michigan","Big Ten","Rutgers","Big Ten","401520260","40152026015","15","false","4","19","81","6","57","4","78","22","0","0","6","57","10","59","END OF GAME","true","31","7","31","7"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","4015202861","1","true","1","75","75","15","0","1","0","0","9","20","5","40","11","75","TD","false","0","0","7","0"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","4015202862","2","false","1","25","75","9","20","1","26","74","8","39","0","41","2","1","INT","true","0","7","0","7"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","4015202863","3","true","1","29","29","8","39","1","0","0","7","15","1","24","3","29","TD","false","7","0","14","0"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","4015202864","4","false","1","25","75","7","15","1","88","12","1","24","5","51","9","63","DOWNS","true","0","14","0","14"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","4015202865","5","true","1","88","88","1","24","2","0","0","11","22","5","2","9","88","TD","false","14","0","21","0"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","4015202866","6","false","2","25","75","11","22","2","30","70","9","15","2","7","3","5","PUNT","true","0","21","0","21"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","4015202867","7","false","2","65","65","9","15","2","65","65","8","21","0","54","3","0","PUNT","false","21","0","21","0"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","4015202868","8","false","2","20","80","8","21","2","44","56","3","59","4","22","6","24","PUNT","true","0","21","0","21"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","4015202869","9","true","2","55","55","3","59","2","0","0","0","23","3","36","8","55","TD","false","21","0","28","0"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","40152028610","10","false","2","25","75","0","23","2","48","52","0","0","0","23","3","23","END OF HALF","true","0","28","0","28"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","40152028611","11","false","3","25","75","15","0","3","78","22","11","48","3","12","5","53","MISSED FG","true","0","28","0","28"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","40152028612","12","true","3","78","78","11","48","3","0","0","5","58","5","50","11","78","TD","false","28","0","35","0"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","40152028613","13","false","3","25","75","5","58","3","25","75","5","38","0","20","3","0","PUNT","true","0","35","0","35"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","40152028614","14","true","3","75","75","5","38","4","12","12","14","17","6","21","13","63","FG","false","35","0","38","0"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","40152028615","15","false","4","19","81","14","12","4","50","50","10","25","3","47","10","31","DOWNS","true","0","38","0","38"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","40152028616","16","true","4","50","50","10","25","4","0","0","4","37","5","48","10","50","TD","false","38","0","45","0"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","40152028617","17","true","4","26","74","4","28","4","100","0","4","17","0","11","1","74","TD","true","0","45","7","45"
"Michigan","Big Ten","Nebraska","Big Ten","401520286","40152028618","18","false","4","47","47","4","17","4","29","29","0","51","3","26","7","18","DOWNS","false","45","7","45","7"
"Nebraska","Big Ten","Michigan","Big Ten","401520286","40152028619","19","false","4","29","71","0","51","4","50","50","0","0","0","51","5","21","END OF GAME","true","7","45","7","45"
"Minnesota","Big Ten","Michigan","Big Ten","401520303","4015203032","1","true","1","25","75","0","0","2","3","97","0","0","0","12","2","75","TD","true","0","0","0","7"
"Minnesota","Big Ten","Michigan","Big Ten","401520303","4015203034","2","false","1","25","75","0","0","2","32","68","12","46","2","2","4","7","PUNT","true","0","7","0","7"
"Michigan","Big Ten","Minnesota","Big Ten","401520303","4015203035","3","true","1","72","72","0","0","2","13","13","7","33","5","13","10","59","FG","false","7","0","10","0"
"Minnesota","Big Ten","Michigan","Big Ten","401520303","4015203037","4","true","1","25","75","0","0","2","65","35","2","35","4","58","10","40","FG","true","0","10","3","10"
"Michigan","Big Ten","Minnesota","Big Ten","401520303","4015203039","5","false","1","75","75","0","0","2","48","48","0","22","2","13","5","27","PUNT","false","10","3","10","3"
"Minnesota","Big Ten","Michigan","Big Ten","401520303","40152030310","6","false","1","12","88","0","0","2","10","90","13","26","1","56","4","-2","PUNT","true","3","10","3","10"
"Michigan","Big Ten","Minnesota","Big Ten","401520303","40152030311","7","true","2","62","62","0","0","3","3","3","0","0","3","18","6","62","TD","false","10","3","17","3"
"Minnesota","Big Ten","Michigan","Big Ten","401520303","40152030313","8","false","2","35","65","0","0","3","26","74","7","52","2","16","3","-9","PUNT","true","3","17","3","17"
"Michigan","Big Ten","Minnesota","Big Ten","401520303","40152030314","9","true","2","67","67","0","0","3","3","3","0","0","2","2","4","67","TD","false","17","3","24","3"
"Minnesota","Big Ten","Michigan","Big Ten","401520303","40152030316","10","true","2","25","75","0","0","3","97","3","0","0","5","44","11","75","TD","true","3","24","10","24"
"Michigan","Big Ten","Minnesota","Big Ten","401520303","40152030318","11","false","2","75","75","0","0","3","75","75","0","0","0","6","1","0","END OF HALF","false","24","10","24","10"
"Michigan","Big Ten","Minnesota","Big Ten","401520303","40152030320","12","false","3","73","73","0","0","4","68","68","14","10","0","44","3","5","PUNT","false","24","10","24","10"
"Minnesota","Big Ten","Michigan","Big Ten","401520303","40152030321","13","false","3","26","74","0","0","4","30","70","12","34","1","36","3","4","PUNT","true","10","24","10","24"
