"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Michigan State","Big Ten","Washington","Pac-12","401520233","4015202331","1","false","1","17","83","14","55","1","25","75","12","3","2","52","6","8","PUNT","true","0","0","0","0"
"Washington","Pac-12","Michigan State","Big Ten","401520233","4015202332","2","true","1","55","55","12","3","1","0","0","9","51","2","12","4","55","TD","false","0","0","7","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","4015202333","3","false","1","25","75","9","51","1","32","68","7","31","2","20","3","7","PUNT","true","0","7","0","7"
"Washington","Pac-12","Michigan State","Big Ten","401520233","4015202334","4","false","1","83","83","7","31","1","61","61","2","50","4","41","7","22","PUNT","false","7","0","7","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","4015202335","5","false","1","26","74","2","50","1","44","56","2","21","0","29","3","18","INT","true","0","7","0","7"
"Washington","Pac-12","Michigan State","Big Ten","401520233","4015202336","6","true","1","44","44","2","21","1","0","0","1","14","1","7","3","44","TD","false","7","0","14","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","4015202337","7","false","1","25","75","1","14","2","59","41","12","23","3","51","10","34","PUNT","true","0","14","0","14"
"Washington","Pac-12","Michigan State","Big Ten","401520233","4015202338","8","true","2","95","95","12","23","2","0","0","10","44","1","39","3","95","TD","false","14","0","21","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","4015202339","9","false","2","15","85","10","39","2","12","88","8","30","2","9","3","-3","PUNT","true","0","21","0","21"
"Washington","Pac-12","Michigan State","Big Ten","401520233","40152023310","10","true","2","48","48","8","30","2","0","0","6","49","1","41","4","48","TD","false","21","0","28","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","40152023311","11","false","2","12","88","6","42","2","46","54","4","45","1","57","6","34","PUNT","true","0","28","0","28"
"Washington","Pac-12","Michigan State","Big Ten","401520233","40152023312","12","false","2","81","81","4","45","2","37","37","1","50","2","55","7","44","PUNT","false","28","0","28","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","40152023313","13","false","2","10","90","1","50","2","66","34","0","41","1","9","7","56","DOWNS","true","0","28","0","28"
"Washington","Pac-12","Michigan State","Big Ten","401520233","40152023314","14","true","2","66","66","0","41","2","0","0","0","6","0","35","5","66","TD","false","28","0","35","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","40152023315","15","false","2","25","75","0","6","2","34","66","0","0","0","6","1","9","END OF HALF","true","0","35","0","35"
"Washington","Pac-12","Michigan State","Big Ten","401520233","40152023316","16","true","3","70","70","14","53","3","4","4","10","43","4","10","8","66","FG","false","35","0","38","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","40152023317","17","false","3","35","65","10","43","3","44","56","8","33","2","10","6","9","PUNT","true","0","38","0","38"
"Washington","Pac-12","Michigan State","Big Ten","401520233","40152023318","18","true","3","84","84","8","33","3","12","12","3","45","4","48","11","72","FG","false","38","0","41","0"
"Michigan State","Big Ten","Washington","Pac-12","401520233","40152023319","19","false","3","25","75","3","45","3","29","71","2","57","0","48","3","4","PUNT","true","0","41","0","41"
